videoId,titulo,canal,canal_id,fecha_publicacion,descripcion,palabra_clave,vistas,likes,comentarios,duracion_segundos,es_para_ninos,suscriptores_canal
ovPJNNVIL3I,¡CORRIGE EL ERROR SI PUEDES! | OPERACIONES COMBINADAS,Profe Jeff,UCG6c0G2FOKEKGp-0l7c4xpA,2021-10-29T01:01:11Z,,álgebra,44431738,779947,33534,23.0,False,1740000
UDoVsyDnsMQ,Pregunta trampa de matemáticas  #estudiantes #mathematics #matemática #matemáticas,Profe Lukas,UCF4Jdb0p6j5IqoRuYw4YFcA,2024-08-06T02:06:05Z,Pregunta trampa de matemáticas.,álgebra,47633985,1640031,49338,20.0,False,137000
ZC67c5ar9mA,ECUACIONES DE SEGUNDO GRADO POR FORMULA GENERAL Super facil -Para principiantes,Daniel Carreón,UCwScwtu5zVqc_wHtRx9XvDA,2020-03-01T19:00:05Z,Hola aqui te dejo un video de ecuaciones de segundo grado por formula general ✉️ NEGOCIOS / CONTRATACIONES ...,álgebra,8384123,231577,9401,558.0,False,9300000
a8CUEopWCN0,Factorización los 6 métodos más usados | Explicación completa,Matemáticas profe Alex,UCanMxWvOoiwtjLYm08Bo8QQ,2021-06-25T19:47:19Z,"Explicación de los 6 métodos de factorización más utilizados: factor común, diferencia de cuadrados, suma o diferencia de cubos, ...",álgebra,7979147,247903,3140,5171.0,False,10000000
_YWHnh08xbw,TRUCOS MATEMATICOS CON OPERACIONES DE SUMAS #humor #entrevista #comedia #bromas #álgebra #matematica,El Rincón Matemático,UCbqGU89AFFvca65RdjvnjFA,2024-10-11T19:45:03Z,"Trucos matemáticos que te harán decir ""WOW""! 🤯 ¿Cansado de las matemáticas? ¡Estos trucos te harán cambiar de opinión!",álgebra,6910005,314428,2150,15.0,False,29400
UNWFLuUfiX4,LENGUAJE ALGEBRAICO Super facil - Para principiantes PARTE 1,Daniel Carreón,UCwScwtu5zVqc_wHtRx9XvDA,2020-01-16T18:17:49Z,"Hola, aquí les dejo este vídeo en donde explico que es el lenguaje algebraico de una manera muy fácil, ideal para que todos ...",álgebra,5854581,190569,9092,276.0,False,9300000
_mAi1HQwRmg,Algebra Tricks देख लो भाई | Aditya Ranjan Sir Maths | Rankers Gurukul SSC CGL CHSL MATHS #maths #ssc,Maths WIZARD Aditya Ranjan,UCwcESmR_ZDpUAap-f6Cwt7g,2023-02-20T13:01:37Z,Algebra Tricks | Aditya Ranjan Sir Maths | Rankers Gurukul SSC CGL CHSL MATHS #maths #ssc Algebra Tricks | Aditya Ranjan ...,álgebra,5367465,384206,3037,50.0,False,1950000
AdF29RB0DgY,2011: Queen Elizabeth II on Algebra,ITN Archive,UCKmqYReXoCMbVgxaT5XuM4w,2022-09-21T10:26:47Z,"On a visit to a school in Windsor in 2011, Queen Elizabeth II couldn't help but express her views on algebra. #QueenElizabethII ...",álgebra,4745394,166260,1531,17.0,False,566000
LwCRRUa8yTU,College Algebra - Full Course,freeCodeCamp.org,UC8butISFwT-Wl7EV0hUK0BQ,2020-07-24T04:38:45Z,Learn Algebra in this full college course. These concepts are often used in programming. This course was created by Dr. Linda ...,álgebra,4618814,135795,4770,24227.0,False,10900000
oXm9s1iFSpw,ECUACIONES DE SEGUNDO GRADO POR FACTORIZACIÓN Super facil - Para principiantes,Daniel Carreón,UCwScwtu5zVqc_wHtRx9XvDA,2020-03-10T19:20:26Z,"Hola, aquí les dejo este vídeo que se trata de resolver ecuaciones de segundo grado por medio de factorizacion, no olvides darle ...",álgebra,4412411,107776,3886,556.0,False,9300000
